Model,Score
ResNet18_pretrained_layer3_linear_all,0.2670035660266876
ResNet18_pretrained_layer4_linear_all,-5.894473815715173e-06
ResNet18_pretrained_avgpool_linear_all,0.1899793446063995
ResNet18_pretrained_layer3_ridge_all,0.2687467336654663
ResNet18_pretrained_layer4_ridge_all,0.0002187980135204
ResNet18_pretrained_avgpool_ridge_all,0.1931000649929046
ResNet50_pretrained_layer3_linear_all,0.3688690662384033
ResNet50_pretrained_layer4_linear_all,0.2294809967279434
ResNet50_pretrained_avgpool_linear_all,-1.9582560062408447
ResNet50_pretrained_layer3_ridge_all,0.3692589402198791
ResNet50_pretrained_layer4_ridge_all,0.2295205891132354
ResNet50_pretrained_avgpool_ridge_all,-0.2883139848709106
ViT_pretrained_conv_proj_linear_all,-0.9188361167907716
ViT_pretrained_encoder_linear_all,0.3059433996677398
ViT_pretrained_heads_linear_all,0.1193372532725334
ViT_pretrained_conv_proj_ridge_all,-1.0518662929534912
ViT_pretrained_encoder_ridge_all,0.3059647679328918
ViT_pretrained_heads_ridge_all,0.1298975348472595
ConvNeXt_pretrained_layer7_linear_all,0.1993912458419799
ConvNeXt_pretrained_classifier_linear_all,0.0381530001759529
ConvNeXt_pretrained_layer7_ridge_all,0.1995880454778671
ConvNeXt_pretrained_classifier_ridge_all,0.1529430598020553
ResNeXt_pretrained_layer3_linear_all,0.3907670974731445
ResNeXt_pretrained_layer4_linear_all,0.1991736143827438
ResNeXt_pretrained_avgpool_linear_all,-1.989376664161682
ResNeXt_pretrained_fc_linear_all,-0.0489859282970428
ResNeXt_pretrained_layer3_ridge_all,0.3909744024276733
ResNeXt_pretrained_layer4_ridge_all,0.1992180943489074
ResNeXt_pretrained_avgpool_ridge_all,-0.6236121654510498
ResNeXt_pretrained_fc_ridge_all,0.1053531318902969
ResNeXt_finetuned_layer3_all_task,0.4083494544029236
ResNeXt_finetuned_layer4_all_task,0.2060534656047821
ResNet50_finetuned_layer3_all_task,0.3875382244586944
DinoV2_finetuned_blocks.10_all,0.3401320165009342
DinoV2_finetuned_blocks.9_all,0.3409227378193802
DinoV2_pretrained_block11_linear_all_pca,0.3066295981407165
DinoV2_pretrained_norm_linear_all_pca,0.3194824755191803
DinoV2_pretrained_block11_linear_all_,0.3066295981407165
DinoV2_pretrained_norm_linear_all_,0.3194824755191803
ResNet18_pretrained_layer3_mlp_all,-9.78554630279541
ResNet18_pretrained_layer4_mlp_all,-0.0218729060143232
ResNet18_pretrained_avgpool_mlp_all,0.1524980366230011
ResNet50_pretrained_layer3_mlp_all,-45018.9609375
ResNet50_pretrained_layer4_mlp_all,-353.28936767578125
ResNet50_pretrained_avgpool_mlp_all,0.1659420579671859
ResNeXt_pretrained_layer3_mlp_all,-14699.486328125
ResNeXt_pretrained_layer4_mlp_all,-0.7558050751686096
ResNeXt_pretrained_avgpool_mlp_all,0.1119689494371414
ConvNeXt_pretrained_layer7_mlp_all,-0.0340739488601684
ConvNeXt_pretrained_classifier_mlp_all,0.1318021267652511
ViT_pretrained_conv_proj_mlp_all,-1.3268136978149414
ViT_pretrained_encoder_mlp_all,-0.123179480433464
DinoV2_pretrained_block11_linear_all,0.3066295981407165
DinoV2_pretrained_norm_linear_all,0.3194824755191803
DinoV2_pretrained_block11_ridge_all,0.3066471517086029
DinoV2_pretrained_norm_ridge_all,0.3194985389709472
